timestamp(ms),acc.x,acc.y,acc.z
0.0, -0.0859222412109375, -0.4857330322265625, -0.8199615478515625
20.0, -0.08941650390625, -0.5383758544921875, -0.8118743896484375
40.0, -0.0208892822265625, -0.592864990234375, -0.639190673828125
60.0, -0.081817626953125, -0.4776763916015625, -0.5841064453125
80.0, -0.0368194580078125, -0.4261474609375, -0.8121337890625
100.0, 0.01263427734375, -0.4178009033203125, -0.8832855224609375
120.0, -0.0207366943359375, -0.4550323486328125, -0.839324951171875
140.0, -0.1248626708984375, -0.43359375, -0.7421112060546875
160.0, -0.165252685546875, -0.456298828125, -0.652008056640625
180.0, -0.0927886962890625, -0.5135345458984375, -0.736846923828125
200.0, 0.005706787109375, -0.5076751708984375, -0.8600921630859375
220.0, 0.2238006591796875, -0.4998321533203125, -0.6865692138671875
240.0, 0.20361328125, -0.8120269775390625, -0.2429656982421875
260.0, 0.4738006591796875, -0.8289947509765625, -0.672119140625
280.0, 0.5481414794921875, -0.7458953857421875, -0.714813232421875
300.0, 0.4462738037109375, -0.61907958984375, -0.6346588134765625
320.0, 0.4998321533203125, -0.8334503173828125, -0.500335693359375
340.0, 0.4366607666015625, -0.73699951171875, -0.535736083984375
360.0, 0.454620361328125, -0.989776611328125, -0.56585693359375
380.0, 0.479827880859375, -1.18145751953125, -0.399169921875
400.0, 0.446197509765625, -1.092132568359375, -0.5262603759765625
420.0, 0.43853759765625, -0.866790771484375, -0.5889434814453125
440.0, 0.4792938232421875, -0.783721923828125, -0.74395751953125
460.0, 0.2984619140625, -0.648529052734375, -0.6256866455078125
480.0, 0.2313995361328125, -0.49273681640625, -0.53759765625
500.0, 0.2276763916015625, -0.31884765625, -0.6231536865234375
520.0, 0.3986663818359375, -0.2920379638671875, -0.5244598388671875
540.0, 0.3506927490234375, -0.2726287841796875, -0.5220184326171875
560.0, 0.2418212890625, -0.295989990234375, -0.5795440673828125
580.0, -0.173431396484375, -0.1625213623046875, -0.7581024169921875
600.0, 0.295379638671875, -0.2554779052734375, -0.483184814453125
620.0, -0.1117706298828125, -0.608673095703125, -0.783355712890625
640.0, 0.297515869140625, -0.6069793701171875, -0.5159759521484375
660.0, 0.535064697265625, -0.4971466064453125, -0.440338134765625
680.0, 0.3868255615234375, -0.4526824951171875, -0.6139068603515625
700.0, 0.5645294189453125, -0.6051025390625, -0.4950714111328125
720.0, 0.90771484375, -0.9175872802734375, -0.5680084228515625
740.0, 0.7770538330078125, -1.228973388671875, -0.4774932861328125
760.0, 0.86279296875, -1.466064453125, -0.5910186767578125
780.0, 0.7733154296875, -1.47406005859375, -0.3326568603515625
800.0, 0.5632476806640625, -1.4921875, -0.0699005126953125
820.0, 0.2125091552734375, -1.235443115234375, -0.083343505859375
840.0, 0.350189208984375, -1.0343780517578125, -0.3180999755859375
860.0, 0.452301025390625, -0.9719085693359375, -0.724273681640625
880.0, 0.31524658203125, -1.214324951171875, -0.496978759765625
900.0, 0.130615234375, -1.2780609130859375, -0.2277984619140625
920.0, 0.2426605224609375, -0.918243408203125, -0.4638671875
940.0, 0.108612060546875, -1.2677764892578125, -0.5173797607421875
960.0, 0.316741943359375, -1.3287506103515625, -0.3235015869140625
980.0, 0.4247283935546875, -1.455657958984375, -0.2239227294921875
1000.0, 0.374053955078125, -1.33221435546875, -0.291290283203125
1020.0, 0.407562255859375, -1.0706024169921875, -0.1649322509765625
1040.0, 0.3472137451171875, -0.8348236083984375, -0.099578857421875
1060.0, 0.1783294677734375, -0.7084197998046875, -0.2600555419921875
1080.0, 0.0211944580078125, -0.7841949462890625, 0.061279296875
1100.0, 0.0115203857421875, -0.5850677490234375, 0.0166015625
1120.0, -0.144561767578125, -0.4181976318359375, -0.060943603515625
